연도,품목,지역,구분,물동량_톤
2019,목재 및 나무제품(가구제외),제주,반출,0
2019,목재 및 나무제품(가구제외),제주,합계,0
2019,"펄프, 종이 및 종이제품",서울,반입,4816261
2019,"펄프, 종이 및 종이제품",서울,반출,1141757
2019,"펄프, 종이 및 종이제품",서울,합계,5958018
2019,"펄프, 종이 및 종이제품",부산,반입,1050792
2019,"펄프, 종이 및 종이제품",부산,반출,645408
2019,"펄프, 종이 및 종이제품",부산,합계,1696200
2019,"펄프, 종이 및 종이제품",대구,반입,1055156
2019,"펄프, 종이 및 종이제품",대구,반출,922163
2019,"펄프, 종이 및 종이제품",대구,합계,1977319
2019,"펄프, 종이 및 종이제품",인천,반입,1411619
2019,"펄프, 종이 및 종이제품",인천,반출,1018122
2019,"펄프, 종이 및 종이제품",인천,합계,2429741
2019,"펄프, 종이 및 종이제품",광주,반입,613185
2019,"펄프, 종이 및 종이제품",광주,반출,176664
2019,"펄프, 종이 및 종이제품",광주,합계,789849
