"year","base_city","base_region_kr","base_region_en","target_city","target_region_kr","target_region_en","direction","cargo_volume","ratio"
"2021","충북","충청권(대전제외)","Chungcheong(excl. DJ)","강원","기타","Others","출발","4421357","1.85"
"2021","충북","충청권(대전제외)","Chungcheong(excl. DJ)","경기","수도권","Capital Area","도착","16233454","5.91"
"2021","세종","충청권(대전제외)","Chungcheong(excl. DJ)","경기","수도권","Capital Area","도착","1769412","0.64"
"2021","충남","충청권(대전제외)","Chungcheong(excl. DJ)","경기","수도권","Capital Area","도착","42384731","15.43"
"2021","충남","충청권(대전제외)","Chungcheong(excl. DJ)","경기","수도권","Capital Area","출발","24265196","10.13"
"2021","세종","충청권(대전제외)","Chungcheong(excl. DJ)","경기","수도권","Capital Area","출발","2321408","0.97"
"2021","충북","충청권(대전제외)","Chungcheong(excl. DJ)","경기","수도권","Capital Area","출발","11390776","4.76"
"2021","충북","충청권(대전제외)","Chungcheong(excl. DJ)","경남","영남권","Yeongnam","도착","2662537","0.97"
"2021","세종","충청권(대전제외)","Chungcheong(excl. DJ)","경남","영남권","Yeongnam","도착","300055","0.11"
"2021","충남","충청권(대전제외)","Chungcheong(excl. DJ)","경남","영남권","Yeongnam","도착","3572679","1.30"
"2021","충남","충청권(대전제외)","Chungcheong(excl. DJ)","경남","영남권","Yeongnam","출발","3454049","1.44"
"2021","세종","충청권(대전제외)","Chungcheong(excl. DJ)","경남","영남권","Yeongnam","출발","479179","0.20"
"2021","충북","충청권(대전제외)","Chungcheong(excl. DJ)","경남","영남권","Yeongnam","출발","2894703","1.21"
"2021","세종","충청권(대전제외)","Chungcheong(excl. DJ)","경북","영남권","Yeongnam","도착","392850","0.14"
"2021","충북","충청권(대전제외)","Chungcheong(excl. DJ)","경북","영남권","Yeongnam","도착","4545593","1.65"
"2021","충남","충청권(대전제외)","Chungcheong(excl. DJ)","경북","영남권","Yeongnam","도착","4675973","1.70"
"2021","충남","충청권(대전제외)","Chungcheong(excl. DJ)","경북","영남권","Yeongnam","출발","6077487","2.54"
"2021","세종","충청권(대전제외)","Chungcheong(excl. DJ)","경북","영남권","Yeongnam","출발","1191487","0.50"
"2021","충북","충청권(대전제외)","Chungcheong(excl. DJ)","경북","영남권","Yeongnam","출발","6465915","2.70"
"2021","세종","충청권(대전제외)","Chungcheong(excl. DJ)","광주","호남권","Honam","도착","57331","0.02"
"2021","충북","충청권(대전제외)","Chungcheong(excl. DJ)","광주","호남권","Honam","도착","500229","0.18"
"2021","충남","충청권(대전제외)","Chungcheong(excl. DJ)","광주","호남권","Honam","도착","1148128","0.42"
"2021","충남","충청권(대전제외)","Chungcheong(excl. DJ)","광주","호남권","Honam","출발","915501","0.38"
"2021","세종","충청권(대전제외)","Chungcheong(excl. DJ)","광주","호남권","Honam","출발","102498","0.04"
