"year","date","industry","region_kr","region_en","avg_index","index_share_pct"
"2021","2021-05-01","총지수","기타","Others",103.33,16.55
"2021","2021-05-01","총지수","대전","Daejeon",105.33,16.87
"2021","2021-05-01","총지수","수도권","Capital Area",102.76,16.46
"2021","2021-05-01","총지수","영남권","Yeongnam",104.89,16.8
"2021","2021-05-01","총지수","충청권","Chungcheong",105.06,16.83
"2021","2021-05-01","총지수","호남권","Honam",102.87,16.48
"2021","2021-06-01","총지수","전국","Nationwide",104.91,99.99
"2021","2021-06-01","총지수","기타","Others",103.19,16.4
"2021","2021-06-01","총지수","대전","Daejeon",108.43,17.23
"2021","2021-06-01","총지수","수도권","Capital Area",102.06,16.22
"2021","2021-06-01","총지수","영남권","Yeongnam",106.61,16.95
"2021","2021-06-01","총지수","충청권","Chungcheong",106.08,16.86
"2021","2021-06-01","총지수","호남권","Honam",102.77,16.33
"2021","2021-07-01","총지수","전국","Nationwide",105.67,100
"2021","2021-07-01","총지수","기타","Others",105.1,16.59
"2021","2021-07-01","총지수","대전","Daejeon",103.5,16.33
"2021","2021-07-01","총지수","수도권","Capital Area",103.74,16.37
"2021","2021-07-01","총지수","영남권","Yeongnam",109.15,17.23
"2021","2021-07-01","총지수","충청권","Chungcheong",108.99,17.2
"2021","2021-07-01","총지수","호남권","Honam",103.19,16.28
"2021","2021-08-01","총지수","전국","Nationwide",105.88,99.99
"2021","2021-08-01","총지수","기타","Others",104.96,16.53
"2021","2021-08-01","총지수","대전","Daejeon",100.73,15.87
"2021","2021-08-01","총지수","수도권","Capital Area",106.54,16.78
"2021","2021-08-01","총지수","영남권","Yeongnam",107.46,16.93
"2021","2021-08-01","총지수","충청권","Chungcheong",110.4,17.39
"2021","2021-08-01","총지수","호남권","Honam",104.7,16.49
"2021","2021-09-01","총지수","전국","Nationwide",108.62,99.99
"2021","2021-09-01","총지수","기타","Others",104.24,16.01
"2021","2021-09-01","총지수","대전","Daejeon",113.23,17.39
"2021","2021-09-01","총지수","수도권","Capital Area",104.69,16.08
"2021","2021-09-01","총지수","영남권","Yeongnam",108.79,16.71
"2021","2021-09-01","총지수","충청권","Chungcheong",113.46,17.43
"2021","2021-09-01","총지수","호남권","Honam",106.53,16.37
"2021","2021-10-01","총지수","전국","Nationwide",107.41,100
"2021","2021-10-01","총지수","기타","Others",107.1,16.63
"2021","2021-10-01","총지수","대전","Daejeon",103.63,16.09
"2021","2021-10-01","총지수","수도권","Capital Area",104.78,16.27
"2021","2021-10-01","총지수","영남권","Yeongnam",109.64,17.02
"2021","2021-10-01","총지수","충청권","Chungcheong",108.69,16.87
"2021","2021-10-01","총지수","호남권","Honam",110.26,17.12
"2021","2021-11-01","총지수","전국","Nationwide",107.94,99.99
"2021","2021-11-01","총지수","기타","Others",107.29,16.59
"2021","2021-11-01","총지수","대전","Daejeon",100.77,15.58
"2021","2021-11-01","총지수","수도권","Capital Area",103.68,16.03
"2021","2021-11-01","총지수","영남권","Yeongnam",111.48,17.24
"2021","2021-11-01","총지수","충청권","Chungcheong",112.07,17.33
"2021","2021-11-01","총지수","호남권","Honam",111.33,17.22
"2021","2021-12-01","총지수","전국","Nationwide",111.52,100
"2021","2021-12-01","총지수","기타","Others",109.77,16.44
"2021","2021-12-01","총지수","대전","Daejeon",103.33,15.47
"2021","2021-12-01","총지수","수도권","Capital Area",107.06,16.03
"2021","2021-12-01","총지수","영남권","Yeongnam",116.29,17.42
"2021","2021-12-01","총지수","충청권","Chungcheong",117.64,17.62
"2021","2021-12-01","총지수","호남권","Honam",113.64,17.02
"2022","2022-01-01","총지수","전국","Nationwide",110.8,100
"2022","2022-01-01","총지수","기타","Others",113.06,17.05
"2022","2022-01-01","총지수","대전","Daejeon",100.57,15.16
"2022","2022-01-01","총지수","수도권","Capital Area",107.18,16.16
"2022","2022-01-01","총지수","영남권","Yeongnam",113.75,17.15
"2022","2022-01-01","총지수","충청권","Chungcheong",116.62,17.58
"2022","2022-01-01","총지수","호남권","Honam",112.09,16.9
"2022","2022-02-01","총지수","전국","Nationwide",109.75,100.01
"2022","2022-02-01","총지수","기타","Others",110.51,16.79
"2022","2022-02-01","총지수","대전","Daejeon",106.43,16.17
"2022","2022-02-01","총지수","수도권","Capital Area",106.86,16.24
"2022","2022-02-01","총지수","영남권","Yeongnam",112.01,17.02
"2022","2022-02-01","총지수","충청권","Chungcheong",113.21,17.2
"2022","2022-02-01","총지수","호남권","Honam",109.17,16.59
"2022","2022-03-01","총지수","전국","Nationwide",111.67,99.99
"2022","2022-03-01","총지수","기타","Others",111.52,16.65
"2022","2022-03-01","총지수","대전","Daejeon",112.27,16.77
"2022","2022-03-01","총지수","수도권","Capital Area",107.23,16.01
"2022","2022-03-01","총지수","영남권","Yeongnam",113.52,16.95
"2022","2022-03-01","총지수","충청권","Chungcheong",115.52,17.25
"2022","2022-03-01","총지수","호남권","Honam",109.56,16.36
"2022","2022-04-01","총지수","전국","Nationwide",109.38,100.01
"2022","2022-04-01","총지수","기타","Others",109.89,16.77
"2022","2022-04-01","총지수","대전","Daejeon",103.43,15.78
"2022","2022-04-01","총지수","수도권","Capital Area",106.37,16.23
"2022","2022-04-01","총지수","영남권","Yeongnam",112.17,17.11
"2022","2022-04-01","총지수","충청권","Chungcheong",115.08,17.56
"2022","2022-04-01","총지수","호남권","Honam",108.53,16.56
"2022","2022-05-01","총지수","전국","Nationwide",110.85,99.99
"2022","2022-05-01","총지수","기타","Others",109.92,16.53
"2022","2022-05-01","총지수","대전","Daejeon",109.8,16.51
"2022","2022-05-01","총지수","수도권","Capital Area",108.19,16.27
"2022","2022-05-01","총지수","영남권","Yeongnam",112.6,16.94
"2022","2022-05-01","총지수","충청권","Chungcheong",114.51,17.22
"2022","2022-05-01","총지수","호남권","Honam",109.84,16.52
"2022","2022-06-01","총지수","전국","Nationwide",112.38,99.99
"2022","2022-06-01","총지수","기타","Others",111.92,16.61
"2022","2022-06-01","총지수","대전","Daejeon",107.17,15.91
"2022","2022-06-01","총지수","수도권","Capital Area",109.91,16.31
"2022","2022-06-01","총지수","영남권","Yeongnam",115.95,17.21
"2022","2022-06-01","총지수","충청권","Chungcheong",116.36,17.27
"2022","2022-06-01","총지수","호남권","Honam",112.39,16.68
"2022","2022-07-01","총지수","전국","Nationwide",114.8,100.01
"2022","2022-07-01","총지수","기타","Others",112.24,16.31
"2022","2022-07-01","총지수","대전","Daejeon",115.1,16.72
"2022","2022-07-01","총지수","수도권","Capital Area",110.32,16.03
"2022","2022-07-01","총지수","영남권","Yeongnam",118.85,17.27
"2022","2022-07-01","총지수","충청권","Chungcheong",117.79,17.11
"2022","2022-07-01","총지수","호남권","Honam",114.04,16.57
"2022","2022-08-01","총지수","전국","Nationwide",113.02,100.01
"2022","2022-08-01","총지수","기타","Others",110.82,16.36
"2022","2022-08-01","총지수","대전","Daejeon",108.67,16.05
"2022","2022-08-01","총지수","수도권","Capital Area",108.29,15.99
"2022","2022-08-01","총지수","영남권","Yeongnam",118.57,17.51
"2022","2022-08-01","총지수","충청권","Chungcheong",117.29,17.32
"2022","2022-08-01","총지수","호남권","Honam",113.63,16.78
"2022","2022-09-01","총지수","전국","Nationwide",114.16,100
"2022","2022-09-01","총지수","기타","Others",107.82,15.77
"2022","2022-09-01","총지수","대전","Daejeon",114.1,16.69
"2022","2022-09-01","총지수","수도권","Capital Area",107.5,15.72
"2022","2022-09-01","총지수","영남권","Yeongnam",118.18,17.29
"2022","2022-09-01","총지수","충청권","Chungcheong",120.87,17.68
"2022","2022-09-01","총지수","호남권","Honam",115.22,16.85
"2022","2022-10-01","총지수","전국","Nationwide",111.92,100
"2022","2022-10-01","총지수","기타","Others",107.37,16.03
"2022","2022-10-01","총지수","대전","Daejeon",107.3,16.02
"2022","2022-10-01","총지수","수도권","Capital Area",103.76,15.49
"2022","2022-10-01","총지수","영남권","Yeongnam",117.93,17.61
"2022","2022-10-01","총지수","충청권","Chungcheong",119.12,17.79
"2022","2022-10-01","총지수","호남권","Honam",114.26,17.06
"2022","2022-11-01","총지수","전국","Nationwide",114.07,100.01
"2022","2022-11-01","총지수","기타","Others",106.86,15.65
"2022","2022-11-01","총지수","대전","Daejeon",110.97,16.25
"2022","2022-11-01","총지수","수도권","Capital Area",108.76,15.93
"2022","2022-11-01","총지수","영남권","Yeongnam",117.71,17.24
"2022","2022-11-01","총지수","충청권","Chungcheong",121.31,17.76
"2022","2022-11-01","총지수","호남권","Honam",117.34,17.18
"2022","2022-12-01","총지수","전국","Nationwide",112.09,100
"2022","2022-12-01","총지수","기타","Others",107.63,16.04
"2022","2022-12-01","총지수","대전","Daejeon",110.1,16.41
"2022","2022-12-01","총지수","수도권","Capital Area",103.43,15.41
"2022","2022-12-01","총지수","영남권","Yeongnam",115.54,17.22
"2022","2022-12-01","총지수","충청권","Chungcheong",119.52,17.81
"2022","2022-12-01","총지수","호남권","Honam",114.79,17.11
"2023","2023-01-01","총지수","전국","Nationwide",115.19,100
"2023","2023-01-01","총지수","기타","Others",108.01,15.68
"2023","2023-01-01","총지수","대전","Daejeon",116.33,16.89
"2023","2023-01-01","총지수","수도권","Capital Area",105.67,15.34
"2023","2023-01-01","총지수","영남권","Yeongnam",119.01,17.28
"2023","2023-01-01","총지수","충청권","Chungcheong",125.26,18.18
"2023","2023-01-01","총지수","호남권","Honam",114.58,16.63
"2023","2023-02-01","총지수","전국","Nationwide",115.51,99.99
"2023","2023-02-01","총지수","기타","Others",112.19,16.24
"2023","2023-02-01","총지수","대전","Daejeon",111.4,16.12
"2023","2023-02-01","총지수","수도권","Capital Area",107.32,15.53
"2023","2023-02-01","총지수","영남권","Yeongnam",119.48,17.29
"2023","2023-02-01","총지수","충청권","Chungcheong",126.96,18.37
