"year","base_city","base_region_en","base_region_kr","target_city","target_region_en","target_region_kr","cargo_volume","logistics_type"
"2019","경북","Yeongnam","영남권","제주","Others","기타","0","권역 간"
"2019","경남","Yeongnam","영남권","서울","Capital Area","수도권","1501038","권역 간"
"2019","경남","Yeongnam","영남권","부산","Yeongnam","영남권","28586338","권역 내"
"2019","경남","Yeongnam","영남권","대구","Yeongnam","영남권","3099498","권역 내"
"2019","경남","Yeongnam","영남권","인천","Capital Area","수도권","1500842","권역 간"
"2019","경남","Yeongnam","영남권","광주","Honam","호남권","1004416","권역 간"
"2019","경남","Yeongnam","영남권","세종","Chungcheong(excl. DJ)","충청권(대전제외)","427349","권역 간"
"2019","경남","Yeongnam","영남권","대전","Daejeon","대전시","939013","권역 간"
"2019","경남","Yeongnam","영남권","울산","Yeongnam","영남권","9404499","권역 내"
"2019","경남","Yeongnam","영남권","경기","Capital Area","수도권","8254060","권역 간"
"2019","경남","Yeongnam","영남권","강원","Others","기타","2556241","권역 간"
"2019","경남","Yeongnam","영남권","충북","Chungcheong(excl. DJ)","충청권(대전제외)","3584586","권역 간"
"2019","경남","Yeongnam","영남권","충남","Chungcheong(excl. DJ)","충청권(대전제외)","4666749","권역 간"
"2019","경남","Yeongnam","영남권","전북","Honam","호남권","2834892","권역 간"
"2019","경남","Yeongnam","영남권","전남","Honam","호남권","6928796","권역 간"
"2019","경남","Yeongnam","영남권","경북","Yeongnam","영남권","10947281","권역 내"
"2019","경남","Yeongnam","영남권","경남","Yeongnam","영남권","79738422","권역 내"
"2019","경남","Yeongnam","영남권","제주","Others","기타","0","권역 간"
"2019","제주","Others","기타","서울","Capital Area","수도권","0","권역 간"
"2019","제주","Others","기타","부산","Yeongnam","영남권","0","권역 간"
"2019","제주","Others","기타","대구","Yeongnam","영남권","0","권역 간"
"2019","제주","Others","기타","인천","Capital Area","수도권","0","권역 간"
"2019","제주","Others","기타","광주","Honam","호남권","0","권역 간"
"2019","제주","Others","기타","세종","Chungcheong(excl. DJ)","충청권(대전제외)","0","권역 간"
"2019","제주","Others","기타","대전","Daejeon","대전시","0","권역 간"
"2019","제주","Others","기타","울산","Yeongnam","영남권","0","권역 간"
"2019","제주","Others","기타","경기","Capital Area","수도권","0","권역 간"
"2019","제주","Others","기타","강원","Others","기타","0","권역 내"
"2019","제주","Others","기타","충북","Chungcheong(excl. DJ)","충청권(대전제외)","0","권역 간"
"2019","제주","Others","기타","충남","Chungcheong(excl. DJ)","충청권(대전제외)","0","권역 간"
"2019","제주","Others","기타","전북","Honam","호남권","0","권역 간"
