"year","commodity","city","flow_type","cargo_volume","commodity_category","region_kr","region_en"
"2019","석탄광물","울산","반입","226998","원자재 및 기초소재","영남권","Yeongnam"
"2019","석탄광물","울산","반출","27","원자재 및 기초소재","영남권","Yeongnam"
"2019","석탄광물","울산","합계","227025","원자재 및 기초소재","영남권","Yeongnam"
"2019","석탄광물","경기","반입","257029","원자재 및 기초소재","수도권","Capital Area"
"2019","석탄광물","경기","반출","9681695","원자재 및 기초소재","수도권","Capital Area"
"2019","석탄광물","경기","합계","9938724","원자재 및 기초소재","수도권","Capital Area"
"2019","석탄광물","강원","반입","317148","원자재 및 기초소재","기타","Others"
"2019","석탄광물","강원","반출","1132000","원자재 및 기초소재","기타","Others"
"2019","석탄광물","강원","합계","1449148","원자재 및 기초소재","기타","Others"
"2019","석탄광물","충북","반입","300869","원자재 및 기초소재","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","석탄광물","충북","반출","0","원자재 및 기초소재","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","석탄광물","충북","합계","300869","원자재 및 기초소재","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","석탄광물","충남","반입","9804461","원자재 및 기초소재","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","석탄광물","충남","반출","0","원자재 및 기초소재","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","석탄광물","충남","합계","9804461","원자재 및 기초소재","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","석탄광물","전북","반입","103417","원자재 및 기초소재","호남권","Honam"
"2019","석탄광물","전북","반출","0","원자재 및 기초소재","호남권","Honam"
"2019","석탄광물","전북","합계","103417","원자재 및 기초소재","호남권","Honam"
"2019","석탄광물","전남","반입","167039","원자재 및 기초소재","호남권","Honam"
"2019","석탄광물","전남","반출","238750","원자재 및 기초소재","호남권","Honam"
"2019","석탄광물","전남","합계","405789","원자재 및 기초소재","호남권","Honam"
"2019","석탄광물","경북","반입","331795","원자재 및 기초소재","영남권","Yeongnam"
"2019","석탄광물","경북","반출","743900","원자재 및 기초소재","영남권","Yeongnam"
"2019","석탄광물","경북","합계","1075695","원자재 및 기초소재","영남권","Yeongnam"
"2019","석탄광물","경남","반입","118544","원자재 및 기초소재","영남권","Yeongnam"
"2019","석탄광물","경남","반출","0","원자재 및 기초소재","영남권","Yeongnam"
"2019","석탄광물","경남","합계","118544","원자재 및 기초소재","영남권","Yeongnam"
"2019","석탄광물","제주","반입","0","원자재 및 기초소재","기타","Others"
"2019","석탄광물","제주","반출","0","원자재 및 기초소재","기타","Others"
"2019","석탄광물","제주","합계","0","원자재 및 기초소재","기타","Others"
"2019","석회석광물","서울","반입","236914","원자재 및 기초소재","수도권","Capital Area"
"2019","석회석광물","서울","반출","0","원자재 및 기초소재","수도권","Capital Area"
"2019","석회석광물","서울","합계","236914","원자재 및 기초소재","수도권","Capital Area"
"2019","석회석광물","부산","반입","18893","원자재 및 기초소재","영남권","Yeongnam"
"2019","석회석광물","부산","반출","1498597","원자재 및 기초소재","영남권","Yeongnam"
"2019","석회석광물","부산","합계","1517490","원자재 및 기초소재","영남권","Yeongnam"
"2019","석회석광물","대구","반입","14831","원자재 및 기초소재","영남권","Yeongnam"
"2019","석회석광물","대구","반출","0","원자재 및 기초소재","영남권","Yeongnam"
"2019","석회석광물","대구","합계","14831","원자재 및 기초소재","영남권","Yeongnam"
"2019","석회석광물","인천","반입","31221","원자재 및 기초소재","수도권","Capital Area"
"2019","석회석광물","인천","반출","3759743","원자재 및 기초소재","수도권","Capital Area"
"2019","석회석광물","인천","합계","3790964","원자재 및 기초소재","수도권","Capital Area"
"2019","석회석광물","광주","반입","4916","원자재 및 기초소재","호남권","Honam"
"2019","석회석광물","광주","반출","0","원자재 및 기초소재","호남권","Honam"
"2019","석회석광물","광주","합계","4916","원자재 및 기초소재","호남권","Honam"
"2019","석회석광물","세종","반입","10789","원자재 및 기초소재","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","석회석광물","세종","반출","0","원자재 및 기초소재","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","석회석광물","세종","합계","10789","원자재 및 기초소재","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","석회석광물","대전","반입","244760","원자재 및 기초소재","대전시","Daejeon"
"2019","석회석광물","대전","반출","0","원자재 및 기초소재","대전시","Daejeon"
"2019","석회석광물","대전","합계","244760","원자재 및 기초소재","대전시","Daejeon"
"2019","석회석광물","울산","반입","24515","원자재 및 기초소재","영남권","Yeongnam"
"2019","석회석광물","울산","반출","107735","원자재 및 기초소재","영남권","Yeongnam"
"2019","석회석광물","울산","합계","132250","원자재 및 기초소재","영남권","Yeongnam"
"2019","석회석광물","경기","반입","3225123","원자재 및 기초소재","수도권","Capital Area"
"2019","석회석광물","경기","반출","2430769","원자재 및 기초소재","수도권","Capital Area"
"2019","석회석광물","경기","합계","5655892","원자재 및 기초소재","수도권","Capital Area"
"2019","석회석광물","강원","반입","24053","원자재 및 기초소재","기타","Others"
"2019","석회석광물","강원","반출","421276","원자재 및 기초소재","기타","Others"
"2019","석회석광물","강원","합계","445329","원자재 및 기초소재","기타","Others"
"2019","석회석광물","충북","반입","1779872","원자재 및 기초소재","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","석회석광물","충북","반출","343787","원자재 및 기초소재","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","석회석광물","충북","합계","2123659","원자재 및 기초소재","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","석회석광물","충남","반입","1186430","원자재 및 기초소재","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","석회석광물","충남","반출","145489","원자재 및 기초소재","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","석회석광물","충남","합계","1331919","원자재 및 기초소재","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","석회석광물","전북","반입","723373","원자재 및 기초소재","호남권","Honam"
"2019","석회석광물","전북","반출","0","원자재 및 기초소재","호남권","Honam"
"2019","석회석광물","전북","합계","723373","원자재 및 기초소재","호남권","Honam"
"2019","석회석광물","전남","반입","416773","원자재 및 기초소재","호남권","Honam"
"2019","석회석광물","전남","반출","648617","원자재 및 기초소재","호남권","Honam"
"2019","석회석광물","전남","합계","1065390","원자재 및 기초소재","호남권","Honam"
"2019","석회석광물","경북","반입","228062","원자재 및 기초소재","영남권","Yeongnam"
"2019","석회석광물","경북","반출","652730","원자재 및 기초소재","영남권","Yeongnam"
"2019","석회석광물","경북","합계","880792","원자재 및 기초소재","영남권","Yeongnam"
"2019","석회석광물","경남","반입","1838218","원자재 및 기초소재","영남권","Yeongnam"
"2019","석회석광물","경남","반출","0","원자재 및 기초소재","영남권","Yeongnam"
"2019","석회석광물","경남","합계","1838218","원자재 및 기초소재","영남권","Yeongnam"
"2019","석회석광물","제주","반입","0","원자재 및 기초소재","기타","Others"
"2019","석회석광물","제주","반출","0","원자재 및 기초소재","기타","Others"
"2019","석회석광물","제주","합계","0","원자재 및 기초소재","기타","Others"
"2019","비금속광물","서울","반입","5048061","원자재 및 기초소재","수도권","Capital Area"
"2019","비금속광물","서울","반출","0","원자재 및 기초소재","수도권","Capital Area"
"2019","비금속광물","서울","합계","5048061","원자재 및 기초소재","수도권","Capital Area"
