"연도","품목","지역","구분","물동량_톤","commodity_cat_en","commodity_cat_kr","region_kr","region_en"
"2019","축산물","경북","반입","438785","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","축산물","경북","반출","291494","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","축산물","경북","합계","730279","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","축산물","경남","반입","158649","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","축산물","경남","반출","308546","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","축산물","경남","합계","467195","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","축산물","제주","반입","0","Agriculture & Fresh Food","농축수산물 및 신선식품","기타","Others"
"2019","축산물","제주","반출","0","Agriculture & Fresh Food","농축수산물 및 신선식품","기타","Others"
"2019","축산물","제주","합계","0","Agriculture & Fresh Food","농축수산물 및 신선식품","기타","Others"
"2019","석탄광물","서울","반입","141940","Heavy Industry & Raw Materials","중화학 및 원자재","수도권","Capital Area"
"2019","석탄광물","서울","반출","0","Heavy Industry & Raw Materials","중화학 및 원자재","수도권","Capital Area"
"2019","석탄광물","서울","합계","141940","Heavy Industry & Raw Materials","중화학 및 원자재","수도권","Capital Area"
"2019","석탄광물","부산","반입","65516","Heavy Industry & Raw Materials","중화학 및 원자재","영남권","Yeongnam"
"2019","석탄광물","부산","반출","3001","Heavy Industry & Raw Materials","중화학 및 원자재","영남권","Yeongnam"
"2019","석탄광물","부산","합계","68517","Heavy Industry & Raw Materials","중화학 및 원자재","영남권","Yeongnam"
"2019","석탄광물","대구","반입","68953","Heavy Industry & Raw Materials","중화학 및 원자재","영남권","Yeongnam"
"2019","석탄광물","대구","반출","0","Heavy Industry & Raw Materials","중화학 및 원자재","영남권","Yeongnam"
"2019","석탄광물","대구","합계","68953","Heavy Industry & Raw Materials","중화학 및 원자재","영남권","Yeongnam"
"2019","석탄광물","인천","반입","0","Heavy Industry & Raw Materials","중화학 및 원자재","수도권","Capital Area"
"2019","석탄광물","인천","반출","216619","Heavy Industry & Raw Materials","중화학 및 원자재","수도권","Capital Area"
