연도,기준지역,대상지역,구분,물동량
2021,울산,경북,출발,4750247
2021,울산,경남,출발,4100706
2021,울산,제주,출발,0
2021,경기,서울,출발,23502069
2021,경기,부산,출발,18727078
2021,경기,대구,출발,2093957
2021,경기,인천,출발,21550101
2021,경기,광주,출발,1383914
2021,경기,세종,출발,1769412
2021,경기,대전,출발,3183600
2021,경기,울산,출발,5185270
2021,경기,경기,출발,158727338
2021,경기,강원,출발,10331182
2021,경기,충북,출발,16233454
2021,경기,충남,출발,42384731
2021,경기,전북,출발,5801052
2021,경기,전남,출발,6596265
2021,경기,경북,출발,12079379
2021,경기,경남,출발,6449160
2021,경기,제주,출발,0
2021,강원,서울,출발,1712598
2021,강원,부산,출발,1577622
2021,강원,대구,출발,838283
2021,강원,인천,출발,1226560
2021,강원,광주,출발,334002
2021,강원,세종,출발,438456
2021,강원,대전,출발,610815
2021,강원,울산,출발,1826645
2021,강원,경기,출발,10625502
2021,강원,강원,출발,34777451
2021,강원,충북,출발,5011748
2021,강원,충남,출발,4321937
2021,강원,전북,출발,1594788
2021,강원,전남,출발,2168302
2021,강원,경북,출발,7095292
2021,강원,경남,출발,2359287
2021,강원,제주,출발,0
2021,충북,서울,출발,1787908
2021,충북,부산,출발,3498693
2021,충북,대구,출발,1022705
2021,충북,인천,출발,1314728
2021,충북,광주,출발,495017
2021,충북,세종,출발,1365015
2021,충북,대전,출발,1615031
2021,충북,울산,출발,2632731
2021,충북,경기,출발,11390776
2021,충북,강원,출발,4421357
2021,충북,충북,출발,18673745
2021,충북,충남,출발,8319738
2021,충북,전북,출발,2170671
2021,충북,전남,출발,2881284
2021,충북,경북,출발,6465915
2021,충북,경남,출발,2894703
2021,충북,제주,출발,0
2021,충남,서울,출발,3133155
2021,충남,부산,출발,5995752
2021,충남,대구,출발,1104440
2021,충남,인천,출발,3326514
2021,충남,광주,출발,915501
2021,충남,세종,출발,1703545
2021,충남,대전,출발,2707191
2021,충남,울산,출발,3007123
2021,충남,경기,출발,24265196
2021,충남,강원,출발,2748830
2021,충남,충북,출발,7498867
2021,충남,충남,출발,75412416
2021,충남,전북,출발,5259169
2021,충남,전남,출발,4494204
2021,충남,경북,출발,6077487
2021,충남,경남,출발,3454049
2021,충남,제주,출발,0
2021,전북,서울,출발,2280634
2021,전북,부산,출발,3220467
2021,전북,대구,출발,1342879
2021,전북,인천,출발,1407131
2021,전북,광주,출발,2426137
2021,전북,세종,출발,639662
2021,전북,대전,출발,2057164
2021,전북,울산,출발,2318158
2021,전북,경기,출발,9901676
2021,전북,강원,출발,1905650
2021,전북,충북,출발,4455319
2021,전북,충남,출발,9637402
2021,전북,전북,출발,34733993
2021,전북,전남,출발,9420263
2021,전북,경북,출발,6466675
2021,전북,경남,출발,5101324
2021,전북,제주,출발,0
2021,전남,서울,출발,1752650
2021,전남,부산,출발,4211482
2021,전남,대구,출발,1623073
2021,전남,인천,출발,1473852
2021,전남,광주,출발,7197753
2021,전남,세종,출발,1653848
2021,전남,대전,출발,1236053
2021,전남,울산,출발,4933737
2021,전남,경기,출발,10952230
2021,전남,강원,출발,2775987
2021,전남,충북,출발,5399438
2021,전남,충남,출발,8226017
2021,전남,전북,출발,8391869
2021,전남,전남,출발,127099079
2021,전남,경북,출발,8599864
2021,전남,경남,출발,9656949
2021,전남,제주,출발,0
2021,경북,서울,출발,1728908
2021,경북,부산,출발,17697016
2021,경북,대구,출발,4110247
2021,경북,인천,출발,1309843
2021,경북,광주,출발,716842
2021,경북,세종,출발,392850
2021,경북,대전,출발,954677
2021,경북,울산,출발,9188869
2021,경북,경기,출발,7439346
2021,경북,강원,출발,2480353
2021,경북,충북,출발,4545593
2021,경북,충남,출발,4675973
2021,경북,전북,출발,1912089
2021,경북,전남,출발,3566949
2021,경북,경북,출발,60671893
2021,경북,경남,출발,6960685
2021,경북,제주,출발,0
2021,경남,서울,출발,1192047
2021,경남,부산,출발,28271753
2021,경남,대구,출발,2782419
2021,경남,인천,출발,894255
2021,경남,광주,출발,883410
2021,경남,세종,출발,300055
2021,경남,대전,출발,765900
2021,경남,울산,출발,9815890
2021,경남,경기,출발,5612941
2021,경남,강원,출발,1629898
2021,경남,충북,출발,2662537
2021,경남,충남,출발,3572679
2021,경남,전북,출발,2290020
2021,경남,전남,출발,5762710
2021,경남,경북,출발,9685461
2021,경남,경남,출발,68449459
2021,경남,제주,출발,0
2021,제주,서울,출발,0
2021,제주,부산,출발,0
2021,제주,대구,출발,0
2021,제주,인천,출발,0
2021,제주,광주,출발,0
2021,제주,세종,출발,0
2021,제주,대전,출발,0
2021,제주,울산,출발,0
2021,제주,경기,출발,0
2021,제주,강원,출발,0
2021,제주,충북,출발,0
2021,제주,충남,출발,0
2021,제주,전북,출발,0
2021,제주,전남,출발,0
2021,제주,경북,출발,0
2021,제주,경남,출발,0
2021,제주,제주,출발,8837435
2021,세종,서울,출발,277677
2021,세종,부산,출발,495977
2021,세종,대구,출발,166792
2021,세종,인천,출발,296828
2021,세종,광주,출발,102498
2021,세종,세종,출발,2342547
2021,세종,대전,출발,597467
2021,세종,울산,출발,300262
2021,세종,경기,출발,2321408
2021,세종,강원,출발,522014
2021,세종,충북,출발,3417475
2021,세종,충남,출발,3711632
2021,세종,전북,출발,582857
2021,세종,전남,출발,650042
2021,세종,경북,출발,1191487
2021,세종,경남,출발,479179
2021,세종,제주,출발,0
2022,서울,서울,출발,43496606
2022,서울,부산,출발,5463377
2022,서울,대구,출발,3243896
2022,서울,인천,출발,6881648
2022,서울,광주,출발,2048727
2022,서울,세종,출발,561643
2022,서울,대전,출발,2727886
2022,서울,울산,출발,4136060
2022,서울,경기,출발,35813380
2022,서울,강원,출발,2558960
2022,서울,충북,출발,4439986
2022,서울,충남,출발,6650532
2022,서울,전북,출발,3422920
2022,서울,전남,출발,4336902
