"배송년월일","송하인_시명","송하인_시코드","송하인_구명","송하인_구코드","수하인_시명","수하인_시코드","대분류_착지물동량 가구/인테리어","대분류_착지물동량 기타","대분류_착지물동량 도서/음반","대분류_착지물동량 디지털/가전","대분류_착지물동량 생활/건강","대분류_착지물동량 스포츠/레저","대분류_착지물동량 식품","대분류_착지물동량 출산/육아","대분류_착지물동량 패션의류","대분류_착지물동량 패션잡화","대분류_착지물동량 화장품/미용"
20221101,서울특별시,11,강동구,11740,경기도,41,628,1180,547,893,1417,195,1277,90,2017,769,358
20221101,서울특별시,11,강동구,11740,세종특별자치시,36,25,24,18,18,39,7,29,4,27,25,5
20221101,서울특별시,11,강동구,11740,울산광역시,31,14,48,25,34,78,17,82,7,114,49,25
20221101,서울특별시,11,강동구,11740,대전광역시,30,79,84,33,72,149,22,120,11,132,97,39
20221101,서울특별시,11,강동구,11740,광주광역시,29,37,92,38,50,131,12,101,6,173,59,27
20221101,서울특별시,11,강동구,11740,인천광역시,28,152,216,90,123,313,37,248,42,364,132,71
20221101,서울특별시,11,강동구,11740,대구광역시,27,95,149,64,146,183,27,170,13,230,98,41
20221101,서울특별시,11,강동구,11740,부산광역시,26,67,223,87,181,268,43,249,22,332,170,69
20221101,서울특별시,11,강동구,11740,서울특별시,11,628,966,340,633,1077,158,985,53,1119,676,271
20221101,서울특별시,11,성북구,11290,대구광역시,27,25,456,43,120,402,46,265,89,1406,429,64
20221101,서울특별시,11,성북구,11290,인천광역시,28,73,484,50,133,568,54,312,107,1923,596,125
20221101,서울특별시,11,성북구,11290,광주광역시,29,23,255,27,73,244,19,135,53,989,346,72
20221101,서울특별시,11,성북구,11290,대전광역시,30,35,216,26,76,266,24,144,44,932,302,35
20221101,서울특별시,11,성북구,11290,울산광역시,31,17,152,13,46,155,22,85,44,633,170,43
20221101,서울특별시,11,동대문구,11230,경상남도,48,66,388,45,104,369,45,391,84,785,163,88
20221101,서울특별시,11,동대문구,11230,제주특별자치도,50,12,56,5,13,58,9,28,0,142,21,5
20221101,서울특별시,11,구로구,11530,서울특별시,11,265,1648,495,963,1208,281,524,89,2296,493,569
20221101,서울특별시,11,동대문구,11230,서울특별시,11,228,1809,285,436,1157,138,1284,117,3224,771,391
