시도별,산업별,산업코드,연도,지표,단위,값,비고
경상북도,광업 및 제조업,,2021,주요생산비,백만원,104811209.0,
경상북도,광업,05~08,2021,주요생산비,백만원,64570.0,
경상북도,제조업,10~34,2021,주요생산비,백만원,104746639.0,
경상남도,광업 및 제조업,,2021,주요생산비,백만원,90101492.0,
경상남도,광업,05~08,2021,주요생산비,백만원,39440.0,
경상남도,제조업,10~34,2021,주요생산비,백만원,90062052.0,
제주특별자치도,광업 및 제조업,,2021,주요생산비,백만원,1079720.0,
제주특별자치도,광업,05~08,2021,주요생산비,백만원,11726.0,
제주특별자치도,제조업,10~34,2021,주요생산비,백만원,1067994.0,
전국,광업 및 제조업,,2021,부가가치,백만원,643654733.0,
전국,광업,05~08,2021,부가가치,백만원,2394285.0,
전국,제조업,10~34,2021,부가가치,백만원,641260448.0,
서울특별시,광업 및 제조업,,2021,부가가치,백만원,15931051.0,
서울특별시,광업,05~08,2021,부가가치,백만원,,X
서울특별시,제조업,10~34,2021,부가가치,백만원,15928551.0,
부산광역시,광업 및 제조업,,2021,부가가치,백만원,16107248.0,
부산광역시,광업,05~08,2021,부가가치,백만원,,X
부산광역시,제조업,10~34,2021,부가가치,백만원,16096200.0,
대구광역시,광업 및 제조업,,2021,부가가치,백만원,12026433.0,
대구광역시,광업,05~08,2021,부가가치,백만원,,X
대구광역시,제조업,10~34,2021,부가가치,백만원,12025108.0,
인천광역시,광업 및 제조업,,2021,부가가치,백만원,25105891.0,
인천광역시,광업,05~08,2021,부가가치,백만원,112325.0,
인천광역시,제조업,10~34,2021,부가가치,백만원,24993566.0,
광주광역시,광업 및 제조업,,2021,부가가치,백만원,12781640.0,
광주광역시,광업,05~08,2021,부가가치,백만원,,X
광주광역시,제조업,10~34,2021,부가가치,백만원,12780418.0,
대전광역시,광업 및 제조업,,2021,부가가치,백만원,9413209.0,
대전광역시,광업,05~08,2021,부가가치,백만원,0.0,-
대전광역시,제조업,10~34,2021,부가가치,백만원,9413209.0,
울산광역시,광업 및 제조업,,2021,부가가치,백만원,43886734.0,
울산광역시,광업,05~08,2021,부가가치,백만원,52186.0,
울산광역시,제조업,10~34,2021,부가가치,백만원,43834548.0,
세종특별자치시,광업 및 제조업,,2021,부가가치,백만원,3785495.0,
세종특별자치시,광업,05~08,2021,부가가치,백만원,15023.0,
세종특별자치시,제조업,10~34,2021,부가가치,백만원,3770472.0,
경기도,광업 및 제조업,,2021,부가가치,백만원,233576935.0,
경기도,광업,05~08,2021,부가가치,백만원,411597.0,
경기도,제조업,10~34,2021,부가가치,백만원,233165338.0,
강원특별자치도,광업 및 제조업,,2021,부가가치,백만원,7123283.0,
강원특별자치도,광업,05~08,2021,부가가치,백만원,762176.0,
강원특별자치도,제조업,10~34,2021,부가가치,백만원,6361107.0,
충청북도,광업 및 제조업,,2021,부가가치,백만원,44797773.0,
충청북도,광업,05~08,2021,부가가치,백만원,215544.0,
충청북도,제조업,10~34,2021,부가가치,백만원,44582229.0,
충청남도,광업 및 제조업,,2021,부가가치,백만원,72353253.0,
충청남도,광업,05~08,2021,부가가치,백만원,166241.0,
충청남도,제조업,10~34,2021,부가가치,백만원,72187012.0,
전라북도,광업 및 제조업,,2021,부가가치,백만원,14602794.0,
전라북도,광업,05~08,2021,부가가치,백만원,156488.0,
