지역명,연도,수출_금액증감률,수출_중량증감률,수출액_백만불,수출중량_천톤,수출단가_USD_kg,수입_금액증감률,수입_중량증감률,수입액_백만불,수입중량_천톤,수입단가_USD_kg,수지_금액,수지_중량,중량비_수입대수출
서울,2010,37.1,17.4,45348.219,8871.934867,5.111423796479501,39.7,27.9,104063.092,52223.674997,1.9926420728908474,-58714873,-43351740130,5.8863907118221634
서울,2011,23.5,16.0,56002.512,10292.035695,5.44134451721798,18.4,4.0,123164.262,54335.190523,2.2667494272954607,-67161750,-44043154828,5.2793433809597765
서울,2012,4.8,12.4,58709.249,11566.160726,5.075949607722925,-1.9,19.7,120833.07,65053.103723,1.8574528052422283,-62123821,-53486942997,5.624433661618131
서울,2013,2.7,11.0,60315.67,12837.917876,4.6982439506610225,6.5,5.3,128639.725,68525.581413,1.8772511279356432,-68324055,-55687663537,5.3377488526473575
서울,2014,3.3,15.0,62329.311,14767.844171,4.220610014452732,9.2,1.4,140472.535,69454.248661,2.022518963319781,-78143224,-54686404490,4.7030729642576485
서울,2015,-3.3,21.6,60273.488,17960.859542,3.3558242498949107,0.1,51.1,140667.826,104928.753309,1.3406032337557048,-80394338,-86967893767,5.842078607854635
서울,2016,-11.4,-3.5,53427.752,17340.954327,3.0810156691787474,-8.6,-5.8,128531.164,98870.326124,1.299997370685319,-75103412,-81529371797,5.701550460233791
서울,2017,7.4,15.5,57385.884,20021.450477,2.866220110572062,14.7,3.4,147467.388,102213.302182,1.442741647632331,-90081504,-82191851705,5.10518967141863
서울,2018,12.6,3.4,64617.983,20695.624417,3.1223016855157493,11.1,-0.4,163792.91,101814.904482,1.6087321481400316,-99174927,-81119280065,4.919634335766464
서울,2019,-11.2,-7.5,57379.003,19144.071041,2.9972205429615237,-3.9,-1.0,157399.033,100828.654251,1.5610545848224384,-100020030,-81684583210,5.266834522033468
서울,2020,-7.1,-4.1,53331.604,18359.061917,2.9049198832221577,-6.0,-3.9,147893.818,96890.562801,1.5264006496045825,-94562214,-78531500884,5.277533418593786
서울,2021,28.5,8.1,68538.247,19847.846844,3.4531829844666047,28.0,5.3,189315.108,102032.885052,1.8554322746388825,-120776861,-82185038208,5.140753344882068
서울,2022,-2.4,-1.3,66906.5,19582.094191,3.416718321718137,13.0,1.5,213849.123,103549.758051,2.0651822565792544,-146942623,-83967663860,5.287981818542771
서울,2023,-0.8,2.4,66342.181,20049.400402,3.308935911788271,-6.9,-2.7,199100.494,100798.848987,1.975225868161232,-132758313,-80749448585,5.027524363119854
서울,2024,3.1,-1.8,68384.045,19698.505548,3.471534672179386,-4.9,-0.3,189426.917,100523.750222,1.8843996227922584,-121042872,-80825244674,5.1031155626019675
서울,2025,0.5,-2.3,68724.178,19249.485534,3.5701825837689944,3.2,-3.1,195519.622,97429.828467,2.0067737475923355,-126795444,-78180342933,5.061425059641804
서울,2026,12.9,-2.9,45522.896,11089.436307,4.1050685300626615,17.4,-3.2,126892.231,55141.272716,2.301220569455236,-81369335,-44051836409,4.9724143941557335
세종,2012,0.0,0.0,279.006,28.006317,9.962252444689533,0.0,0.0,348.066,98.213984,3.5439556143043744,-69060,-70207667,3.506851115053793
세종,2013,223.9,293.6,903.653,110.224371,8.19830489211864,203.9,584.3,1057.775,672.083811,1.573873648922039,-154122,-561859440,6.0974157067315
세종,2014,12.9,-1.4,1020.318,108.638564,9.391858309172791,8.7,17.5,1150.015,789.98901,1.455735441180378,-129697,-681350446,7.271718079778743
세종,2015,-9.0,7.1,928.618,116.350533,7.981209677827604,-3.6,-2.4,1108.293,771.126194,1.4372394669295854,-179675,-654775661,6.627612045404209
세종,2016,9.0,27.5,1011.836,148.369386,6.8197087504291485,3.0,10.1,1141.136,849.225933,1.3437366378683115,-129300,-700856547,5.723727487825554
세종,2017,1.2,10.5,1024.426,164.015365,6.245914826333496,8.2,19.4,1234.336,1013.602787,1.2177709215395045,-209910,-849587422,6.179925807560774
세종,2018,20.0,29.7,1229.378,212.78964,5.777433525429151,1.1,-11.1,1247.443,900.898015,1.3846661655703614,-18065,-688108375,4.233749420319523
세종,2019,4.5,5.2,1285.154,223.761515,5.7434094509058005,25.2,-29.2,1562.242,637.885041,2.4490964665841726,-277088,-414123526,2.8507361554108175
세종,2020,1.2,-16.2,1300.389,187.473015,6.93640628759291,-24.2,21.1,1184.261,772.575226,1.5328746769832353,116128,-585102211,4.120994298832821
세종,2021,17.8,-10.6,1532.331,167.514742,9.147439692203328,13.2,-2.2,1340.41,755.856269,1.773366253578033,191921,-588341527,4.512177614791658
세종,2022,5.7,-7.0,1620.008,155.827933,10.396133535314236,26.6,308.1,1696.725,3084.468412,0.5500866837860812,-76717,-2928640479,19.79406613832194
세종,2023,-23.0,-21.3,1246.718,122.611976,10.167995335137572,-10.8,3.4,1513.927,3190.688058,0.4744829242094465,-267209,-3068076082,26.02264609127578
세종,2024,24.3,-0.1,1549.676,122.430725,12.65757431396408,12.2,19.0,1699.09,3798.038325,0.4473598880811715,-149414,-3675607600,31.021937712122508
세종,2025,-10.1,-16.3,1393.26,102.458783,13.598248575722396,-2.2,-12.2,1661.437,3335.065186,0.49817227170683553,-268177,-3232606403,32.55031036236298
세종,2026,26.2,15.5,1025.597,71.661476,14.311692379877858,24.4,-4.6,1164.65,1943.069349,0.5993867386150611,-139053,-1871407873,27.11455941822912
울산,2000,0.0,0.0,19972.128,30058.076609,0.6644512973933914,0.0,0.0,14268.301,43224.363831,0.3300985771771369,5703827,-13166287222,1.4380282675192113
울산,2001,-0.1,3.7,19950.546,31159.604039,0.6402695610325949,28.1,69.2,18271.601,73132.11294,0.2498437453187032,1678945,-41972508901,2.3470167608184735
울산,2002,21.2,8.9,24177.072,33929.477168,0.7125683629101773,3.7,-0.2,18943.122,72992.724651,0.259520686350218,5233950,-39063247483,2.1513070858587184
울산,2003,13.7,-2.0,27484.944,33252.294022,0.8265578303203902,19.6,2.8,22650.671,75002.413854,0.3019992269061085,4834273,-41750119832,2.255556076954503
울산,2004,36.3,15.0,37470.08,38253.957311,0.9795085955519014,31.5,6.4,29789.765,79786.420605,0.37336886119356955,7680315,-41532463294,2.085703707889517
울산,2005,20.6,8.8,45181.861,41613.389469,1.0857529650080135,29.0,-1.1,38442.648,78894.029727,0.4872694186496057,6739213,-37280640258,1.8958808867461352
울산,2006,21.6,6.3,54939.555,44255.763597,1.2414101697642888,28.1,2.8,49234.599,81140.722642,0.606780385937988,5704956,-36884959045,1.8334498390058362
울산,2007,16.4,5.1,63951.549,46508.566143,1.3750488201112891,12.2,-1.1,55230.514,80238.349396,0.6883306351109127,8721035,-33729783253,1.7252380808578565
울산,2008,23.2,6.9,78802.425,49733.987013,1.5844783363015271,27.8,0.2,70580.371,80432.57291,0.8775098004010873,8222054,-30698585897,1.6172556784754795
울산,2009,-22.8,5.0,60814.274,52217.897932,1.164625088493499,-32.9,-0.2,47359.591,80293.275342,0.5898325955477249,13454683,-28075377410,1.5376581310599817
울산,2010,17.4,-2.4,71383.632,50980.490871,1.4002146856653008,33.0,4.0,62994.761,83543.216121,0.7540380167883578,8388871,-32562725250,1.6387291431225341
울산,2011,42.2,14.5,101480.083,58356.059948,1.7389810602433924,36.2,4.6,85785.851,87376.903122,0.9817909302670238,15694232,-29020843174,1.497306418559785
울산,2012,-4.2,2.1,97212.707,59600.264891,1.6310784386241832,2.1,0.1,87611.35,87471.594478,1.001597724642314,9601357,-27871329587,1.4676376797648887
울산,2013,-5.9,-5.5,91512.584,56293.849985,1.6256231191219706,-4.2,-1.6,83915.136,86076.241517,0.9748931240617287,7597448,-29782391532,1.5290523128181104
울산,2014,1.0,3.5,92400.41,58242.501121,1.5864773699885628,-5.0,0.0,79739.272,86069.650364,0.9264505160968124,12661138,-27827149243,1.4777808079565218
울산,2015,-21.1,-9.6,72907.063,52673.221415,1.3841390566485823,-59.3,-48.0,32456.706,44725.698577,0.7256836009866311,40450357,7947522838,0.849116446184612
울산,2016,-10.5,-0.2,65259.332,52586.877503,1.2409813074806935,-14.7,3.9,27700.98,46459.712405,0.5962365793082012,37558352,6127165098,0.8834849036691624
울산,2017,2.2,0.8,66699.541,53026.554448,1.2578516875994326,9.3,-0.7,30269.083,46130.943073,0.6561557380715289,36430458,6895611375,0.8699592789540547
