"year","hs_section","section_name","hs_chapter","product_name","export_cnt","export_usd","export_ratio","import_cnt","import_usd","import_ratio","balance"
"2021","15","비금속 및 그 제품","76","알루미늄과그제품","1177","22972","0.46","3405","117657","3.09","-94685"
"2021","15","비금속 및 그 제품","78","납과그제품","688","307","0.01","160","14492","0.38","-14185"
"2021","15","비금속 및 그 제품","79","아연과그제품","12","20","0.00","37","84","0.00","-64"
"2021","15","비금속 및 그 제품","80","주석과그제품","0","0","0.00","19","1553","0.04","-1553"
"2021","15","비금속 및 그 제품","81","그밖의비금속(卑金屬)서멧(cermet)이들의제품","116","856","0.02","268","62555","1.64","-61700"
"2021","15","비금속 및 그 제품","82","비금속(卑金屬)으로만든공구ㆍ도구ㆍ칼붙이ㆍ스푼ㆍ포크이들의부분품","1349","6098","0.12","8084","5690","0.15","408"
"2021","15","비금속 및 그 제품","83","비금속(卑金屬)으로만든각종제품","817","3827","0.08","2017","4618","0.12","-791"
"2021","16","기계 및 전기기기","84","원자로ㆍ보일러ㆍ기계류와이들의부분품","17982","973236","19.65","42146","653377","17.13","319860"
"2021","16","기계 및 전기기기","85","전기기기와그부분품녹음기ㆍ음성재생기ㆍ텔레비전의영상과음성의기록기ㆍ재생기와이들의부분품ㆍ부속품","32027","1447418","29.23","92752","743282","19.49","704136"
"2021","17","수송기기","86","철도용이나궤도용기관차ㆍ차량과이들의부분품철도용이나궤도용장비품과그부분품기계식(전기기계식을포함한다)각종교통신호용기기","6","607","0.01","95","79154","2.08","-78548"
"2021","17","수송기기","87","철도용이나궤도용외의차량과그부분품ㆍ부속품","9466","290330","5.86","6414","95035","2.49","195295"
"2021","17","수송기기","88","항공기와우주선이들의부분품","21","57616","1.16","169","9231","0.24","48385"
"2021","17","수송기기","89","선박과수상구조물","0","0","0.00","36","1000","0.03","-1000"
"2021","18","광학, 정밀, 의료기기","90","광학기기ㆍ사진용기기ㆍ영화용기기ㆍ측정기기ㆍ검사기기ㆍ정밀기기ㆍ의료용기기이들의부분품과부속품","13964","373030","7.53","40731","322160","8.45","50870"
"2021","18","광학, 정밀, 의료기기","91","시계와그부분품","38","31","0.00","1851","1317","0.03","-1286"
