"지역","기간","부코드","부명약칭","부명_공식","류코드","류명약칭","류명_공식","수출건수","수출금액","수출비중","수입건수","수입금액","수입비중","무역수지","원자료없음"
"광주광역시","2000","15","비금속 및 그 제품","비금속(卑金屬)과 그 제품","82","비금속제의공구","비금속(卑金屬)으로만든공구ㆍ도구ㆍ칼붙이ㆍ스푼ㆍ포크이들의부분품",55,6547,0.21,209,1334,0.07,5213,0
"광주광역시","2000","15","비금속 및 그 제품","비금속(卑金屬)과 그 제품","83","비금속제의각종_제품","비금속(卑金屬)으로만든각종제품",14,96,0,20,222,0.01,-127,0
"광주광역시","2000","16","기계 및 전기기기","기계류ㆍ전기기기와 이들의 부분품, 녹음기ㆍ음성재생기ㆍ텔레비전의 영상과 음향의 기록기ㆍ재생기와 이들의 부분품ㆍ부속품","84","기계류","원자로ㆍ보일러ㆍ기계류와이들의부분품",16435,632143,19.86,4490,106303,5.77,525840,0
"광주광역시","2000","16","기계 및 전기기기","기계류ㆍ전기기기와 이들의 부분품, 녹음기ㆍ음성재생기ㆍ텔레비전의 영상과 음향의 기록기ㆍ재생기와 이들의 부분품ㆍ부속품","85","전기기기","전기기기와그부분품녹음기ㆍ음성재생기ㆍ텔레비전의영상과음성의기록기ㆍ재생기와이들의부분품ㆍ부속품",22645,2034098,63.91,24296,1371237,74.37,662861,0
"광주광역시","2000","17","수송기기","차량ㆍ항공기ㆍ선박과 수송기기 관련품","86","철도차량","철도용이나궤도용기관차ㆍ차량과이들의부분품철도용이나궤도용장비품과그부분품기계식(전기기계식을포함한다)각종교통신호용기기",0,0,0,3,501,0.03,-501,0
"광주광역시","2000","17","수송기기","차량ㆍ항공기ㆍ선박과 수송기기 관련품","87","자동차","철도용이나궤도용외의차량과그부분품ㆍ부속품",2460,370588,11.64,451,11794,0.64,358795,0
"광주광역시","2000","17","수송기기","차량ㆍ항공기ㆍ선박과 수송기기 관련품","88","항공기","항공기와우주선이들의부분품",0,0,0,1,2,0,-2,0
"광주광역시","2000","17","수송기기","차량ㆍ항공기ㆍ선박과 수송기기 관련품","89","선박","선박과수상구조물",0,0,0,0,0,0,0,1
"광주광역시","2000","18","광학, 정밀, 의료기기","광학기기ㆍ사진용 기기ㆍ영화용 기기ㆍ측정기기ㆍ검사기기ㆍ정밀기기ㆍ의료용 기기, 시계, 악기, 이들의 부분품과 부속품","90","광학_정밀의료기기","광학기기ㆍ사진용기기ㆍ영화용기기ㆍ측정기기ㆍ검사기기ㆍ정밀기기ㆍ의료용기기이들의부분품과부속품",105,4857,0.15,1293,27547,1.49,-22690,0
"광주광역시","2000","18","광학, 정밀, 의료기기","광학기기ㆍ사진용 기기ㆍ영화용 기기ㆍ측정기기ㆍ검사기기ㆍ정밀기기ㆍ의료용 기기, 시계, 악기, 이들의 부분품과 부속품","91","시계","시계와그부분품",1,0,0,27,38,0,-38,0
"광주광역시","2000","18","광학, 정밀, 의료기기","광학기기ㆍ사진용 기기ㆍ영화용 기기ㆍ측정기기ㆍ검사기기ㆍ정밀기기ㆍ의료용 기기, 시계, 악기, 이들의 부분품과 부속품","92","악기","악기와그부분품과부속품",26,321,0.01,24,115,0.01,207,0
"광주광역시","2000","19","무기 및 탄약","무기ㆍ총포탄과 이들의 부분품과 부속품","93","무기","무기ㆍ총포탄과이들의부분품과부속품",0,0,0,11,12,0,-12,0
"광주광역시","2000","20","잡품(가구, 장난감 등)","잡품","94","가구_침구조립식건축","가구침구ㆍ매트리스ㆍ매트리스서포트(mattresssupport)ㆍ쿠션과이와유사한물품다른류로분류되지않은조명기구조명용사인ㆍ조명용네임플레이트(name-plate)와이와유사한물품조립식건축물",57,1802,0.06,73,720,0.04,1081,0
"광주광역시","2000","20","잡품(가구, 장난감 등)","잡품","95","완구_운동용구","완구ㆍ게임용구ㆍ운동용구와이들의부분품과부속품",254,38495,1.21,50,129,0.01,38366,0
"광주광역시","2000","20","잡품(가구, 장난감 등)","잡품","96","잡품","잡품",56,319,0.01,108,536,0.03,-217,0
"광주광역시","2000","21","예술품, 수집품 및 골동품","예술품ㆍ수집품ㆍ골동품","97","예술품_수집과_골동품","예술품ㆍ수집품ㆍ골동품",1,14,0,6,69,0,-55,0
"광주광역시","2001","01","동물 및 동물성 생산품","살아 있는 동물과 동물성 생산품","01","산_동물","살아있는동물",0,0,0,17,46,0,-46,0
"광주광역시","2001","01","동물 및 동물성 생산품","살아 있는 동물과 동물성 생산품","02","육과식용설육","육과식용설육(屑肉)",12,77,0,4,65,0,12,0
"광주광역시","2001","01","동물 및 동물성 생산품","살아 있는 동물과 동물성 생산품","03","어류","어류ㆍ갑각류ㆍ연체동물과그밖의수생(水生)무척추동물",124,722,0.02,369,6898,0.4,-6176,0
"광주광역시","2001","01","동물 및 동물성 생산품","살아 있는 동물과 동물성 생산품","04","낙농품","낙농품새의알천연꿀다른류로분류되지않은식용인동물성생산품",37,1889,0.06,349,16949,0.99,-15060,0
"광주광역시","2001","01","동물 및 동물성 생산품","살아 있는 동물과 동물성 생산품","05","기타_동물성생산품","다른류로분류되지않은동물성생산품",2,13,0,9,213,0.01,-200,0
"광주광역시","2001","02","식물성 생산품","식물성 생산품","06","산_수목및절화","살아있는수목과그밖의식물인경(鱗莖)ㆍ뿌리와이와유사한물품절화(切花)와장식용잎",72,308,0.01,37,426,0.02,-118,0
"광주광역시","2001","02","식물성 생산품","식물성 생산품","07","채소","식용의채소ㆍ뿌리ㆍ괴경(塊莖)",191,1095,0.04,127,1319,0.08,-224,0
"광주광역시","2001","02","식물성 생산품","식물성 생산품","08","과실_견과류","식용의과실과견과류감귤류ㆍ멜론의껍질",45,641,0.02,0,0,0,641,0
"광주광역시","2001","02","식물성 생산품","식물성 생산품","09","커피_향신료","커피ㆍ차ㆍ마테(maté)ㆍ향신료",12,126,0,53,343,0.02,-217,0
"광주광역시","2001","02","식물성 생산품","식물성 생산품","10","곡물","곡물",0,0,0,18,5128,0.3,-5128,0
"광주광역시","2001","02","식물성 생산품","식물성 생산품","11","제분공업생산품","제분공업의생산품과맥아전분이눌린(inulin)밀의글루텐(gluten)",1,1,0,35,5066,0.3,-5065,0
"광주광역시","2001","02","식물성 생산품","식물성 생산품","12","채유용종자","채유(採油)에적합한종자와과실각종종자와과실공업용ㆍ의약용식물짚과사료용식물",49,647,0.02,100,481,0.03,166,0
"광주광역시","2001","02","식물성 생산품","식물성 생산품","13","식물성수액과_엑스","락(lac)검ㆍ수지ㆍ그밖의식물성수액과추출물(extract)",0,0,0,9,317,0.02,-317,0
"광주광역시","2001","02","식물성 생산품","식물성 생산품","14","기타_식물성생산품","식물성편조물(編組物)용재료와다른류로분류되지않은식물성생산품",0,0,0,186,1790,0.1,-1790,0
"광주광역시","2001","03","동식물성 유지류","동물성ㆍ식물성ㆍ미생물성 지방과 기름 및 이들의 분해생산물, 조제한 식용 지방과 동물성ㆍ식물성 왁스","15","동_식물성유지","동물성ㆍ식물성ㆍ미생물성지방과기름및이들의분해생산물조제한식용지방과동물성ㆍ식물성왁스",4,86,0,3,9,0,77,0
