행정구역별,산업별,산업코드,연도,지표,단위,값,지수
경 남,"전문, 과학 및 기술 서비스업",70~73,2021,사업체수,개,9180,100.0
경 남,"사업시설 관리, 사업 지원 및 임대 서비스업",74~76,2021,사업체수,개,8395,100.0
경 남,"공공행정, 국방 및 사회보장 행정",84,2021,사업체수,개,1100,100.0
경 남,교육 서비스업,85,2021,사업체수,개,17005,100.0
경 남,보건업 및 사회복지 서비스업,86~87,2021,사업체수,개,10159,100.0
경 남,"예술, 스포츠 및 여가관련 서비스업",90~91,2021,사업체수,개,8072,100.0
경 남,"협회 및 단체, 수리 및 기타 개인 서비스업",94~96,2021,사업체수,개,34146,100.0
제 주,전체 산업,0,2021,사업체수,개,96131,100.0
제 주,"농업, 임업 및 어업",01~03,2021,사업체수,개,755,100.0
제 주,광업,05~08,2021,사업체수,개,11,100.0
제 주,제조업,10~34,2021,사업체수,개,3704,100.0
제 주,"전기, 가스, 증기 및 공기조절 공급업",35,2021,사업체수,개,1119,100.0
제 주,"수도, 하수 및 폐기물 처리, 원료 재생업",36~39,2021,사업체수,개,190,100.0
제 주,건설업,41~42,2021,사업체수,개,9434,100.0
제 주,도매 및 소매업,45~47,2021,사업체수,개,21872,100.0
제 주,운수 및 창고업,49~52,2021,사업체수,개,8076,100.0
제 주,숙박 및 음식점업,55~56,2021,사업체수,개,23469,100.0
제 주,정보통신업,58~63,2021,사업체수,개,967,100.0
제 주,금융 및 보험업,64~66,2021,사업체수,개,861,100.0
제 주,부동산업,68,2021,사업체수,개,3977,100.0
제 주,"전문, 과학 및 기술 서비스업",70~73,2021,사업체수,개,2773,100.0
제 주,"사업시설 관리, 사업 지원 및 임대 서비스업",74~76,2021,사업체수,개,2961,100.0
제 주,"공공행정, 국방 및 사회보장 행정",84,2021,사업체수,개,224,100.0
제 주,교육 서비스업,85,2021,사업체수,개,3789,100.0
제 주,보건업 및 사회복지 서비스업,86~87,2021,사업체수,개,2160,100.0
제 주,"예술, 스포츠 및 여가관련 서비스업",90~91,2021,사업체수,개,2645,100.0
제 주,"협회 및 단체, 수리 및 기타 개인 서비스업",94~96,2021,사업체수,개,7144,100.0
전 국,전체 산업,0,2021,종사자수,명,24931600,100.0
전 국,"농업, 임업 및 어업",01~03,2021,종사자수,명,66163,100.0
전 국,광업,05~08,2021,종사자수,명,14863,100.0
전 국,제조업,10~34,2021,종사자수,명,4217537,100.0
전 국,"전기, 가스, 증기 및 공기조절 공급업",35,2021,종사자수,명,156994,100.0
전 국,"수도, 하수 및 폐기물 처리, 원료 재생업",36~39,2021,종사자수,명,133172,100.0
전 국,건설업,41~42,2021,종사자수,명,1987478,100.0
전 국,도매 및 소매업,45~47,2021,종사자수,명,3668167,100.0
전 국,운수 및 창고업,49~52,2021,종사자수,명,1361418,100.0
