연도,품목,지역,구분,물동량_톤
2022,"가죽, 가방 및 신발제품",경남,반출,32535
2022,"가죽, 가방 및 신발제품",경남,합계,42870
2022,"가죽, 가방 및 신발제품",제주,반입,0
2022,"가죽, 가방 및 신발제품",제주,반출,0
2022,"가죽, 가방 및 신발제품",제주,합계,0
2022,목재 및 나무제품(가구제외),서울,반입,391962
2022,목재 및 나무제품(가구제외),서울,반출,1961
2022,목재 및 나무제품(가구제외),서울,합계,393923
2022,목재 및 나무제품(가구제외),부산,반입,433720
2022,목재 및 나무제품(가구제외),부산,반출,61824
2022,목재 및 나무제품(가구제외),부산,합계,495544
2022,목재 및 나무제품(가구제외),대구,반입,200159
2022,목재 및 나무제품(가구제외),대구,반출,36348
2022,목재 및 나무제품(가구제외),대구,합계,236507
2022,목재 및 나무제품(가구제외),인천,반입,472948
2022,목재 및 나무제품(가구제외),인천,반출,917914
2022,목재 및 나무제품(가구제외),인천,합계,1390862
2022,목재 및 나무제품(가구제외),광주,반입,133073
2022,목재 및 나무제품(가구제외),광주,반출,26972
2022,목재 및 나무제품(가구제외),광주,합계,160045
2022,목재 및 나무제품(가구제외),세종,반입,26234
2022,목재 및 나무제품(가구제외),세종,반출,12147
2022,목재 및 나무제품(가구제외),세종,합계,38381
2022,목재 및 나무제품(가구제외),대전,반입,78446
2022,목재 및 나무제품(가구제외),대전,반출,14790
2022,목재 및 나무제품(가구제외),대전,합계,93236
2022,목재 및 나무제품(가구제외),울산,반입,316760
2022,목재 및 나무제품(가구제외),울산,반출,37919
2022,목재 및 나무제품(가구제외),울산,합계,354679
2022,목재 및 나무제품(가구제외),경기,반입,1836159
2022,목재 및 나무제품(가구제외),경기,반출,698458
2022,목재 및 나무제품(가구제외),경기,합계,2534617
2022,목재 및 나무제품(가구제외),강원,반입,35783
2022,목재 및 나무제품(가구제외),강원,반출,3215728
2022,목재 및 나무제품(가구제외),강원,합계,3251511
2022,목재 및 나무제품(가구제외),충북,반입,391120
2022,목재 및 나무제품(가구제외),충북,반출,76477
2022,목재 및 나무제품(가구제외),충북,합계,467597
2022,목재 및 나무제품(가구제외),충남,반입,448455
2022,목재 및 나무제품(가구제외),충남,반출,229352
2022,목재 및 나무제품(가구제외),충남,합계,677807
2022,목재 및 나무제품(가구제외),전북,반입,190436
2022,목재 및 나무제품(가구제외),전북,반출,643657
2022,목재 및 나무제품(가구제외),전북,합계,834093
2022,목재 및 나무제품(가구제외),전남,반입,291839
2022,목재 및 나무제품(가구제외),전남,반출,28905
2022,목재 및 나무제품(가구제외),전남,합계,320744
2022,목재 및 나무제품(가구제외),경북,반입,579767
2022,목재 및 나무제품(가구제외),경북,반출,178357
2022,목재 및 나무제품(가구제외),경북,합계,758124
2022,목재 및 나무제품(가구제외),경남,반입,632511
2022,목재 및 나무제품(가구제외),경남,반출,278563
2022,목재 및 나무제품(가구제외),경남,합계,911074
2022,목재 및 나무제품(가구제외),제주,반입,0
2022,목재 및 나무제품(가구제외),제주,반출,0
2022,목재 및 나무제품(가구제외),제주,합계,0
2022,"펄프, 종이 및 종이제품",서울,반입,5660503
2022,"펄프, 종이 및 종이제품",서울,반출,29383
2022,"펄프, 종이 및 종이제품",서울,합계,5689886
2022,"펄프, 종이 및 종이제품",부산,반입,1320622
2022,"펄프, 종이 및 종이제품",부산,반출,44516
2022,"펄프, 종이 및 종이제품",부산,합계,1365138
2022,"펄프, 종이 및 종이제품",대구,반입,1528833
2022,"펄프, 종이 및 종이제품",대구,반출,151735
2022,"펄프, 종이 및 종이제품",대구,합계,1680568
2022,"펄프, 종이 및 종이제품",인천,반입,1640330
2022,"펄프, 종이 및 종이제품",인천,반출,110507
2022,"펄프, 종이 및 종이제품",인천,합계,1750837
2022,"펄프, 종이 및 종이제품",광주,반입,676872
2022,"펄프, 종이 및 종이제품",광주,반출,40812
2022,"펄프, 종이 및 종이제품",광주,합계,717684
