지역,기간,HS코드,품목명,수출건수,수출금액,수입건수,수입금액,무역수지
광주광역시,2001,97,예술품ㆍ수집품ㆍ골동품,2.0,42.0,16.0,381.0,-339.0
광주광역시,2001,99,일시적입법;설치된간이수정에따른입법을트레이드한다;추가적수입제한농업인것의제22부에따른확립된것조정행위수정된것처럼,0.0,0.0,389.0,41.0,-41.0
광주광역시,2001,89,선박과수상구조물,1.0,195.0,1.0,5.0,190.0
광주광역시,2001,36,화약류화공품성냥발화성합금특정가연성조제품,,,,,0.0
광주광역시,2001,26,광(鑛)ㆍ슬래그(slag)ㆍ회(灰),,,,,0.0
광주광역시,2002,01,살아있는동물,0.0,0.0,72.0,185.0,-185.0
광주광역시,2002,02,육과식용설육(屑肉),0.0,0.0,8.0,219.0,-219.0
광주광역시,2002,03,어류ㆍ갑각류ㆍ연체동물과그밖의수생(水生)무척추동물,164.0,731.0,598.0,8597.0,-7866.0
광주광역시,2002,04,낙농품새의알천연꿀다른류로분류되지않은식용인동물성생산품,30.0,1341.0,286.0,13950.0,-12609.0
광주광역시,2002,05,다른류로분류되지않은동물성생산품,3.0,71.0,8.0,74.0,-3.0
광주광역시,2002,06,살아있는수목과그밖의식물인경(鱗莖)ㆍ뿌리와이와유사한물품절화(切花)와장식용잎,4.0,35.0,49.0,588.0,-553.0
광주광역시,2002,07,식용의채소ㆍ뿌리ㆍ괴경(塊莖),187.0,1171.0,122.0,1461.0,-290.0
광주광역시,2002,08,식용의과실과견과류감귤류ㆍ멜론의껍질,57.0,649.0,5.0,133.0,516.0
광주광역시,2002,09,커피ㆍ차ㆍ마테(maté)ㆍ향신료,11.0,143.0,30.0,151.0,-8.0
광주광역시,2002,10,곡물,,,,,0.0
광주광역시,2002,11,제분공업의생산품과맥아전분이눌린(inulin)밀의글루텐(gluten),0.0,0.0,30.0,4583.0,-4583.0
광주광역시,2002,12,채유(採油)에적합한종자와과실각종종자와과실공업용ㆍ의약용식물짚과사료용식물,31.0,310.0,170.0,1255.0,-945.0
광주광역시,2002,13,락(lac)검ㆍ수지ㆍ그밖의식물성수액과추출물(extract),1.0,1.0,9.0,369.0,-368.0
광주광역시,2002,14,식물성편조물(編組物)용재료와다른류로분류되지않은식물성생산품,0.0,0.0,145.0,1894.0,-1894.0
광주광역시,2002,15,동물성ㆍ식물성ㆍ미생물성지방과기름및이들의분해생산물조제한식용지방과동물성ㆍ식물성왁스,6.0,47.0,2.0,4.0,44.0
광주광역시,2002,16,육류ㆍ어류ㆍ갑각류ㆍ연체동물이나그밖의수생(水生)무척추동물또는곤충의조제품,28.0,208.0,95.0,3732.0,-3524.0
광주광역시,2002,17,당류(糖類)와설탕과자,8.0,69.0,20.0,660.0,-591.0
광주광역시,2002,18,코코아와그조제품,0.0,0.0,17.0,2087.0,-2087.0
광주광역시,2002,19,곡물ㆍ고운가루ㆍ전분ㆍ밀크의조제품과베이커리제품,130.0,2591.0,32.0,210.0,2381.0
광주광역시,2002,20,채소ㆍ과실ㆍ견과류나식물의그밖의부분의조제품,121.0,765.0,69.0,647.0,119.0
광주광역시,2002,21,각종조제식료품,74.0,921.0,217.0,4022.0,-3101.0
광주광역시,2002,22,음료ㆍ주류ㆍ식초,309.0,20223.0,26.0,153.0,20070.0
광주광역시,2002,23,식품공업에서생기는잔재물과웨이스트(waste)조제사료,10.0,104.0,121.0,3079.0,-2976.0
광주광역시,2002,24,담배와제조한담배대용물연소시키지않고흡입하도록만들어진물품(니코틴을함유하였는지에상관없다)니코틴을함유한그밖의물품으로인체내에니코틴을흡수시키도록만들어진것,51.0,79.0,2.0,0.0,79.0
광주광역시,2002,25,소금황토석류(土石類)석고ㆍ석회ㆍ시멘트,5.0,8.0,201.0,1132.0,-1124.0
